layer_name,image_ref,file
"Article → 0.%20Ipad%20Portada%20DIGIO.jpg.webp",b3dc0ff53799e02996e8af4152d230d4c831b092,00-ipad-portada-digio.png
"1.%20LOGOTIPO%20DIGIO.mp4",d8de8c187502780b50bd628257d612bef413b890,01-logotipo-digio.png
">-",70480ee5328b06319e8915c57b84e5b3d67d6821,02-transformation-is-our-code.png
"Article → 4.%20Mobile%20Home.jpg.webp",41e6f0f894dc88d276ed10b34f77f1ace93c8ab8,03-mobile-home.png
"Article → 5.%20SCROLL%20DIGIO%20INSTA.mp4",cd677e7b5265f0e81fdc515619be1204d3b55163,04-scroll-digio-insta.png
"Article → 6.%20Color%20palette.jpg.webp",8176d7897287bffc8eb98014f58661b1353ed26d,05-color-palette.png
"Article → 7.%20Avatar%20de%20Cero%20a%20Uno.mp4",af4deaf57ad05fe129e694f76e61856cd65546fa,06-avatar-cero-a-uno.png
"Article → 8.%20Avatar.jpg.webp",3adea00e94cd50a54225a4aca65c3fff1698aba3,07-avatar.png
"Article → 9.1%20Ipad%20Cero%20a%20Uno.png.webp",00fc0f1d83df9b6d6f690084d5260543edc7cbdf,08-ipad-cero-a-uno.png
"Article → 10.%20Digio%20OOH-48.jpg.webp",4ea9bf490e9f376a1bd3e3afb763cc442b12578d,09-digio-ooh.png
"Article → 11.1%20ICON%20SET%20ANIMATION.mp4",4d1d33c96be7e75572bf8ac55c1e87f38b2b345a,10-icon-set-animation.png
"Article → 12.%20Icon%20Library.jpg.webp",48b5c5012ca2d3c996b9e81c7ed84afdd2da0a95,11-icon-library.png
">-",955c446351b1217ff5d282fde6bf46a2715cc7e3,12-visual-language.png
"Article → 14.%20Website%20Blog.jpg.webp",81b248437395f6a2ef2a6148659d5afe0b694ba7,13-website-blog.png
">-",cb45888d941dd0b73c96c74b1160266fdf86ea71,14-posters.png
"Article → 16.%20Camiseta%20Digio.png.webp",3acebdfb3e611fb06196552a803e99bcb25d7083,15-camiseta-digio.png
"Article → 17.%20Bolsa%20Agenda.png.webp",330c39774a41a82ac92c4fc94ab6932247a53c4f,16-bolsa-agenda.png
"Article → 18.%20Tarjetas%20Personales.jpg.webp",e23bfef627e2fdd0b966902781a926f3423ef35b,17-tarjetas-personales.png
"Article → 19.%20Oficina.jpg.webp",1056dbdf0c50947a37c2401362d6fd3b13b028f6,18-oficina.png
"Article → 20.%20Totebag%20Digio.jpg.webp",223f81c8addb5729d5c3be9b7cad41944483addc,19-totebag-digio.png
"Article → 21.%20Agenda.jpg.webp",df711d4d466e983e39cc8ec54cb52e0105d73629,20-agenda.png
